Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,'466273173737,title,ar,,,Tara Formula,صيغة tara
COLLECTION,'466273173737,body_html,ar,,,"",
COLLECTION,'466273173737,handle,ar,,,tara-formula,
COLLECTION,'466273206505,title,ar,,,Shop Hair,تسوق الشعر
COLLECTION,'466273206505,body_html,ar,,,"<div><div><div><div>

<div>
<h1>Award-Winning Haircare: Botanical Extracts + Advanced Science </h1>
<div><p>We combine proven botanical extracts with breakthrough modern ingredients to provide the best care for your hair.</p></div>
</div>
</div></div></div></div>","<div><div><div class=""column-group""><div class=""column-line""><div class=""column text-wrapper""><h1>عناية شعر حائزة على جوائز: مستخلصات نباتية + علم متقدّم</h1><div><p id=""UG3OKMM"">نركّب مستخلصات نباتية مثبتة مع مكوّنات حديثة متطوّرة لتقديم أفضل عناية لشعرك.</p></div></div></div></div></div></div>"
COLLECTION,'466273206505,handle,ar,,,shop-hair,
COLLECTION,'466273239273,title,ar,,,BLACK FRIDAY SETS,عروض الجمعة السوداء
COLLECTION,'466273239273,body_html,ar,,,"<div><div><div><div>

<div>
<h1>Black Friday Sets</h1>
<div>
<p>3-step haircare routines to restore hair and scalp health from root to tip. Each set targets a specific hair concern like lack of density, hair loss, dry and dull hair, aging hair or dehydrated hair. <strong>Now with 20%OFF — For Black Friday only.</strong></p>
<p> </p>
</div>
</div>
</div></div></div></div>","<div><div><div class=""column-group""><div class=""column-line""><div class=""column text-wrapper""><h1>مجموعات البلاك فرايداي</h1><div><p>روتينات عناية ثلاثية المراحل لتعافي صحة فروة الرأس وخصلات الشعر من الجذور حتى الأطراف. كل مجموعة تستهدف مشكلة محددة مثل ضعف الكثافة، التساقط، الجفاف وفقدان اللمعان، شيخوخة الشعر أو الجفاف العميق. <strong>الآن بخصم 20% — عرض خاص ليوم البلاك فرايداي فقط.</strong></p>
<p>&nbsp;</p></div></div></div></div></div>"
COLLECTION,'466273239273,handle,ar,,,black-friday-sets,
COLLECTION,'466273239273,meta_title,ar,,,Sets and Hair Care Routines | TARA,مجموعات وروتينات العناية بالشعر | TARA
COLLECTION,'466273239273,meta_description,ar,,,Hair care sets designed for comprehensive routines and optimal results. Expert combinations to treat the scalp and hair completely.,مجموعات عناية بالشعر مصمّمة لروتينات شاملة ونتائج مثلى. تركيبات خبيرة تعالج فروة الرأس والشعر بعمق.
COLLECTION,'466273272041,title,ar,,,Shop Skin,تسوق البشرة
COLLECTION,'466273272041,body_html,ar,,,"<div><div><div><div>

<div>
<h1>More than just skin deep.</h1>
<div><p><span style=""font-weight: 400;"">Gentle, yet effective formulas that go beneath the surface to reveal your best skin yet.</span></p></div>
</div>
</div></div></div></div>","<div><div><div class=""column-group""><div class=""column-line""><div class=""column text-wrapper""><h1>أكثر من مجرد سطح البشرة.</h1><div><p><span style=""font-weight: 400;"">تركيبات لطيفة وفعّالة تخترق السطح لتكشف عن أفضل حالة لبشرتك.</span></p></div></div></div></div></div></div>"
COLLECTION,'466273272041,handle,ar,,,shop-skin,
COLLECTION,'466273304809,title,ar,,,Accessories,إكسسوارات
COLLECTION,'466273304809,body_html,ar,,,"",
COLLECTION,'466273304809,handle,ar,,,accessories,
COLLECTION,'466273337577,title,ar,,,Black Garlic+ Ceramides,الثوم الأسود + سيراميدات
COLLECTION,'466273337577,body_html,ar,,,"<p>Comprehensive hair treatment to rebuild, strengthen and repair from the scalp to the hair fiber’s internal structure. Ideal for damaged, dry or porous hair.</p>",<p>علاج شامل لإعادة بناء الشعر وتقويته وترميمه من فروة الرأس حتى بنية الخصلة الداخلية. مناسب للشعر المتضرر، الجاف أو المسامي.</p>
COLLECTION,'466273337577,handle,ar,,,black-garlic-ceramides,
COLLECTION,'466273337577,meta_title,ar,,,Black Garlic + Ceramides | Repair and Strengthen Hair | TARA,الثوم الأسود + سيراميدات | ترميم وتقوية الشعر | TARA
COLLECTION,'466273337577,meta_description,ar,,,"Complete scalp treatment to reconstruct, strengthen, and repair from the scalp to the internal structure of the hair fiber.",علاج كامل لفروة الرأس لإعادة البناء، وتقوية، وترميم من فروة الرأس إلى البنية الداخلية لخصلات الشعر.
COLLECTION,'466273370345,title,ar,,,Onion + Peptides,البصل + ببتيدات
COLLECTION,'466273370345,body_html,ar,,,<p>Anti‑hair‑loss haircare developed with Onion and next‑generation Peptides. This collection tackles shedding at the scalp to keep hair anchored and prolong the growth phase.</p>,<p>روتين مضاد لتساقط الشعر مطوّر بخلاصة البصل وببتيدات الجيل التالي. تَستهدف هذه التشكيلة التساقط عند مصدره في فروة الرأس لتثبيت الشعرة وإطالة طور النمو.</p>
